update_step,total_timesteps,mean_reward,median_reward,mean_space_ratio,mean_items_packed,entropy_loss,value_loss,action_loss,infeasibility_loss
205,49200,0.6740740790963173,0.6666666716337204,0.674074074074074,18.2,2.406639575958252,0.006752698682248592,-0.09469198435544968,0.010081328451633453
210,50400,0.6592592641711235,0.6296296343207359,0.6592592592592592,17.8,2.427644729614258,0.00574229471385479,-0.05703813210129738,0.007366236299276352
215,51600,0.5925925970077515,0.6111111156642437,0.5925925925925927,16.0,2.3943068981170654,0.010231811553239822,0.055768631398677826,0.0050266035832464695
220,52800,0.6777777828276157,0.7222222276031971,0.6777777777777778,18.3,2.334460735321045,0.007918053306639194,-0.10163655132055283,0.007581002544611692
225,54000,0.6703703753650189,0.6851851902902126,0.6703703703703704,18.1,2.4419918060302734,0.005897664465010166,-0.08967404067516327,0.005734186619520187
230,55200,0.622222226858139,0.5925925970077515,0.6222222222222222,16.8,2.425469398498535,0.00615324079990387,-0.045763395726680756,0.005337451118975878
235,56400,0.6888888940215111,0.6666666716337204,0.6888888888888889,18.6,2.402120351791382,0.0026232388336211443,-0.03800123557448387,0.009513812139630318
240,57600,0.5703703746199608,0.5740740783512592,0.5703703703703704,15.4,2.39827036857605,0.005438251420855522,0.04408295080065727,0.005109327845275402
245,58800,0.6185185231268406,0.6111111156642437,0.6185185185185185,16.7,2.403442859649658,0.004519849084317684,-0.015173260122537613,0.006033460609614849
250,60000,0.7185185238718986,0.7407407462596893,0.7185185185185186,19.4,2.414841890335083,0.007168196141719818,0.05711323395371437,0.006883334368467331
255,61200,0.7148148201406002,0.7037037089467049,0.7148148148148148,19.3,2.4249067306518555,0.005519126076251268,0.018143074586987495,0.0078058624640107155
260,62400,0.6481481529772282,0.6481481529772282,0.6481481481481481,17.5,2.488670587539673,0.006238853093236685,0.050061844289302826,0.0029581296257674694
5,1200,0.48518518880009653,0.46296296641230583,0.4851851851851851,13.1,2.8062078952789307,0.0747392401099205,0.08555389195680618,0.011944823898375034
10,2400,0.5111111149191856,0.5000000037252903,0.5111111111111111,13.8,2.87892746925354,0.028622252866625786,0.0004480113566387445,0.008470180444419384
15,3600,0.48518518880009653,0.42592592909932137,0.4851851851851851,13.1,2.824028968811035,0.02544557675719261,0.047974489629268646,0.01043443288654089
20,4800,0.4925925962626934,0.5000000037252903,0.4925925925925926,13.3,2.867802619934082,0.02770259417593479,-0.00015539130254182965,0.008246378973126411
25,6000,0.5111111149191856,0.48148148506879807,0.5111111111111112,13.8,2.872507095336914,0.008666844107210636,0.023879464715719223,0.007797109428793192
30,7200,0.5592592634260655,0.5370370410382748,0.5592592592592592,15.1,2.844033718109131,0.013159357942640781,-0.011799542233347893,0.01148227509111166
35,8400,0.48148148506879807,0.5000000037252903,0.4814814814814815,13.0,2.867169141769409,0.01883864216506481,0.0056807198561728,0.007768138311803341
40,9600,0.5111111149191856,0.5185185223817825,0.5111111111111111,13.8,2.872852087020874,0.008237248286604881,0.00916188582777977,0.007480130530893803
45,10800,0.37777778059244155,0.37037037312984467,0.3777777777777778,10.2,2.874972105026245,0.007659717462956905,0.005767488386482,0.003615287598222494
50,12000,0.5629629671573639,0.555555559694767,0.562962962962963,15.2,2.862497329711914,0.012266748584806919,-0.0047457097098231316,0.01019398495554924
5,1200,0.48518518880009653,0.46296296641230583,0.4851851851851851,13.1,2.8062078952789307,0.0747392401099205,0.08555389195680618,0.011944823898375034
10,2400,0.5111111149191856,0.5000000037252903,0.5111111111111111,13.8,2.87892746925354,0.028622252866625786,0.0004480113566387445,0.008470180444419384
5,1200,0.49629629999399183,0.5000000037252903,0.4962962962962963,13.4,2.880584716796875,0.045307036489248276,0.010625378228724003,0.008245172910392284
10,2400,0.34814815074205396,0.3333333358168602,0.3481481481481481,9.4,2.874319076538086,0.06078404560685158,0.009865792468190193,0.006054665427654982
15,3600,0.48148148506879807,0.4444444477558136,0.4814814814814815,13.0,2.8698980808258057,0.02611299604177475,0.0031044005881994963,0.0069326129741966724
20,4800,0.5111111149191856,0.5000000037252903,0.5111111111111112,13.8,2.8713831901550293,0.028976891189813614,0.027832094579935074,0.006469158921390772
25,6000,0.555555559694767,0.5185185223817825,0.5555555555555556,15.0,2.8701648712158203,0.034357719123363495,0.02428010292351246,0.008442540653049946
